sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"RPL41","Approved symbol","RPL41","ribosomal protein L41","HGNC:10354","12q13"
"AP4E1","Approved symbol","AP4E1","adaptor related protein complex 4 subunit epsilon 1","HGNC:573","15q21.2"
"SLC25A12","Approved symbol","SLC25A12","solute carrier family 25 member 12","HGNC:10982","2q31.1"
"BACE1","Approved symbol","BACE1","beta-secretase 1","HGNC:933","11q23.3"
"SNRPN","Approved symbol","SNRPN","small nuclear ribonucleoprotein polypeptide N","HGNC:11164","15q11.2"
"FZD10","Approved symbol","FZD10","frizzled class receptor 10","HGNC:4039","12q24.33"
"KCNN1","Approved symbol","KCNN1","potassium calcium-activated channel subfamily N member 1","HGNC:6290","19p13.11"
"CUL5","Approved symbol","CUL5","cullin 5","HGNC:2556","11q22.3"
"COPS2","Approved symbol","COPS2","COP9 signalosome subunit 2","HGNC:30747","15q21.1"
"ARPC4","Approved symbol","ARPC4","actin related protein 2/3 complex subunit 4","HGNC:707","3p25.3"
"HPD","Approved symbol","HPD","4-hydroxyphenylpyruvate dioxygenase","HGNC:5147","12q24.31"
"HRC","Approved symbol","HRC","histidine rich calcium binding protein","HGNC:5178","19q13.33"
"PQBP1","Approved symbol","PQBP1","polyglutamine binding protein 1","HGNC:9330","Xp11.23"
"KIF5B","Approved symbol","KIF5B","kinesin family member 5B","HGNC:6324","10p11.22"
"BCS1L","Approved symbol","BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone","HGNC:1020","2q35"
"GGTLA1","Previous symbol","GGT5","gamma-glutamyltransferase 5","HGNC:4260","22q11.23"
"DEPDC1","Approved symbol","DEPDC1","DEP domain containing 1","HGNC:22949","1p31.3"
"TLE4","Approved symbol","TLE4","TLE family member 4, transcriptional corepressor","HGNC:11840","9q21.31"
"SH2BP1","Previous symbol","CTR9","CTR9 homolog, Paf1/RNA polymerase II complex component","HGNC:16850","11p15.4"
"AMIGO2","Approved symbol","AMIGO2","adhesion molecule with Ig like domain 2","HGNC:24073","12q13.11"
"E4F1","Approved symbol","E4F1","E4F transcription factor 1","HGNC:3121","16p13.3"
"TCF12","Approved symbol","TCF12","transcription factor 12","HGNC:11623","15q21.3"
"STX8","Approved symbol","STX8","syntaxin 8","HGNC:11443","17p13.1"
"SNX13","Approved symbol","SNX13","sorting nexin 13","HGNC:21335","7p21.1"
"PEX11B","Approved symbol","PEX11B","peroxisomal biogenesis factor 11 beta","HGNC:8853","1q21.1"
"MGC3248","Alias symbol","DCTN5","dynactin subunit 5","HGNC:24594","16p12.2"
"RNF2","Approved symbol","RNF2","ring finger protein 2","HGNC:10061","1q25.3"
"SERF1A","Approved symbol","SERF1A","small EDRK-rich factor 1A","HGNC:10755","5q13.2"
"CYBB","Approved symbol","CYBB","cytochrome b-245 beta chain","HGNC:2578","Xp21.1-p11.4"
"PRKACG","Approved symbol","PRKACG","protein kinase cAMP-activated catalytic subunit gamma","HGNC:9382","9q21.11"
"APAF1","Approved symbol","APAF1","apoptotic peptidase activating factor 1","HGNC:576","12q23.1"
"ABI2","Approved symbol","ABI2","abl interactor 2","HGNC:24011","2q33.2"
"FCER2","Approved symbol","FCER2","Fc epsilon receptor II","HGNC:3612","19p13.2"
"MLLT7","Previous symbol","FOXO4","forkhead box O4","HGNC:7139","Xq13.1"
"HPS5","Approved symbol","HPS5","HPS5 biogenesis of lysosomal organelles complex 2 subunit 2","HGNC:17022","11p15.1"
"GNL1","Approved symbol","GNL1","G protein nucleolar 1 (putative)","HGNC:4413","6p21.33"
"KIAA0276","Alias symbol","DCUN1D4","defective in cullin neddylation 1 domain containing 4","HGNC:28998","4q12"
"SGNE1","Previous symbol","SCG5","secretogranin V","HGNC:10816","15q13.3"
"PTGDR","Approved symbol","PTGDR","prostaglandin D2 receptor","HGNC:9591","14q22.1"
"ADH5","Approved symbol","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","HGNC:253","4q23"
"JTV1","Alias symbol","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2","HGNC:20609","7p22.1"
"JUNB","Approved symbol","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","HGNC:6205","19p13.13"
"ICAM4","Approved symbol","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","HGNC:5347","19p13.2"
"PLA2G4B","Approved symbol","PLA2G4B","phospholipase A2 group IVB","HGNC:9036","15q15.1"
"KIAA0669","Alias symbol","TSC22D2","TSC22 domain family member 2","HGNC:29095","3q25.1"
"FLJ20516","Alias symbol","TIPIN","TIMELESS interacting protein","HGNC:30750","15q22.31"
"BHMT2","Approved symbol","BHMT2","betaine--homocysteine S-methyltransferase 2","HGNC:1048","5q14.1"
"GFRA3","Approved symbol","GFRA3","GDNF family receptor alpha 3","HGNC:4245","5q31.2"
"AGTRL1","Previous symbol","APLNR","apelin receptor","HGNC:339","11q12.1"
"TCF7","Approved symbol","TCF7","transcription factor 7","HGNC:11639","5q31.1"
"CAPN3","Approved symbol","CAPN3","calpain 3","HGNC:1480","15q15.1"
"PFKL","Approved symbol","PFKL","phosphofructokinase, liver type","HGNC:8876","21q22.3"
"NNMT","Approved symbol","NNMT","nicotinamide N-methyltransferase","HGNC:7861","11q23.2"
"RHCG","Approved symbol","RHCG","Rh family C glycoprotein","HGNC:18140","15q26.1"
"ELMO3","Approved symbol","ELMO3","engulfment and cell motility 3","HGNC:17289","16q22.1"
"SLC25A20","Approved symbol","SLC25A20","solute carrier family 25 member 20","HGNC:1421","3p21.31"
"G6PC2","Approved symbol","G6PC2","glucose-6-phosphatase catalytic subunit 2","HGNC:28906","2q31.1"
"POLR2L","Approved symbol","POLR2L","RNA polymerase II, I and III subunit L","HGNC:9199","11p15.5"
"PARK7","Approved symbol","PARK7","Parkinsonism associated deglycase","HGNC:16369","1p36.23"
"BCL2L10","Approved symbol","BCL2L10","BCL2 like 10","HGNC:993","15q21.2"
"PTPN18","Approved symbol","PTPN18","protein tyrosine phosphatase non-receptor type 18","HGNC:9649","2q21.1"
"CD80","Approved symbol","CD80","CD80 molecule","HGNC:1700","3q13.33"
"ACAT1","Approved symbol","ACAT1","acetyl-CoA acetyltransferase 1","HGNC:93","11q22.3"
"ACAT1","Alias symbol","SOAT1","sterol O-acyltransferase 1","HGNC:11177","1q25.2"
"GOT2","Approved symbol","GOT2","glutamic-oxaloacetic transaminase 2","HGNC:4433","16q21"
"SULT1C1","Previous symbol","SULT1C2","sulfotransferase family 1C member 2","HGNC:11456","2q12.3"
"MRPS14","Approved symbol","MRPS14","mitochondrial ribosomal protein S14","HGNC:14049","1q25.1"
"ENTPD1","Approved symbol","ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","HGNC:3363","10q24.1"
"MYO1D","Approved symbol","MYO1D","myosin ID","HGNC:7598","17q11.2"
"ALK","Approved symbol","ALK","ALK receptor tyrosine kinase","HGNC:427","2p23.2-p23.1"
"CNTFR","Approved symbol","CNTFR","ciliary neurotrophic factor receptor","HGNC:2170","9p13.3"
"CUL4A","Approved symbol","CUL4A","cullin 4A","HGNC:2554","13q34"
"EMX2","Approved symbol","EMX2","empty spiracles homeobox 2","HGNC:3341","10q26.11"
"PRPH","Approved symbol","PRPH","peripherin","HGNC:9461","12q13.12"
"SPG4","Previous symbol","SPAST","spastin","HGNC:11233","2p22.3"
"HCFC2","Approved symbol","HCFC2","host cell factor C2","HGNC:24972","12q23.3"
"CHD1L","Approved symbol","CHD1L","chromodomain helicase DNA binding protein 1 like","HGNC:1916","1q21.1"
"ADAM7","Approved symbol","ADAM7","ADAM metallopeptidase domain 7","HGNC:214","8p21.2"
"DKFZP586L0724","Alias symbol","NOL11","nucleolar protein 11","HGNC:24557","17q24.2"
"BCMO1","Previous symbol","BCO1","beta-carotene oxygenase 1","HGNC:13815","16q23.2"
"CHRM4","Approved symbol","CHRM4","cholinergic receptor muscarinic 4","HGNC:1953","11p11.2"
"SIGLEC7","Approved symbol","SIGLEC7","sialic acid binding Ig like lectin 7","HGNC:10876","19q13.41"
"FLT4","Approved symbol","FLT4","fms related receptor tyrosine kinase 4","HGNC:3767","5q35.3"
"IL1RL1LG","Alias symbol","TMED1","transmembrane p24 trafficking protein 1","HGNC:17291","19p13.2"
"AP4S1","Approved symbol","AP4S1","adaptor related protein complex 4 subunit sigma 1","HGNC:575","14q12"
"EFNB1","Approved symbol","EFNB1","ephrin B1","HGNC:3226","Xq13.1"
"CENPB","Approved symbol","CENPB","centromere protein B","HGNC:1852","20p13"
"TYK2","Approved symbol","TYK2","tyrosine kinase 2","HGNC:12440","19p13.2"
"RALB","Approved symbol","RALB","RAS like proto-oncogene B","HGNC:9840","2q14.2"
"IL10RA","Approved symbol","IL10RA","interleukin 10 receptor subunit alpha","HGNC:5964","11q23.3"
"PRKCSH","Approved symbol","PRKCSH","protein kinase C substrate 80K-H","HGNC:9411","19p13.2"
"RPS6KA3","Approved symbol","RPS6KA3","ribosomal protein S6 kinase A3","HGNC:10432","Xp22.12"
"CFDP1","Approved symbol","CFDP1","craniofacial development protein 1","HGNC:1873","16q23.1"
"ZBED4","Approved symbol","ZBED4","zinc finger BED-type containing 4","HGNC:20721","22q13.33"
"AGL","Approved symbol","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","HGNC:321","1p21.2"
"GPX2","Approved symbol","GPX2","glutathione peroxidase 2","HGNC:4554","14q23.3"
"NFE2","Approved symbol","NFE2","nuclear factor, erythroid 2","HGNC:7780","12q13.13"
"SLC4A4","Approved symbol","SLC4A4","solute carrier family 4 member 4","HGNC:11030","4q13.3"
"NS3TP1","Alias symbol","ASNSD1","asparagine synthetase domain containing 1","HGNC:24910","2q32.2"
"CHRNE","Approved symbol","CHRNE","cholinergic receptor nicotinic epsilon subunit","HGNC:1966","17p13.2"
"FLJ20619","Alias symbol","TTC22","tetratricopeptide repeat domain 22","HGNC:26067","1p32.3"
"BNIP1","Approved symbol","BNIP1","BCL2 interacting protein 1","HGNC:1082","5q35.1"
"CDK9","Approved symbol","CDK9","cyclin dependent kinase 9","HGNC:1780","9q34.11"
"KRAS2","Previous symbol","KRAS","KRAS proto-oncogene, GTPase","HGNC:6407","12p12.1"
"EPHA7","Approved symbol","EPHA7","EPH receptor A7","HGNC:3390","6q16.1"
"TRAF4","Approved symbol","TRAF4","TNF receptor associated factor 4","HGNC:12034","17q11.2"
"ANAPC1","Approved symbol","ANAPC1","anaphase promoting complex subunit 1","HGNC:19988","2q13"
"PCBP3","Approved symbol","PCBP3","poly(rC) binding protein 3","HGNC:8651","21q22.3"
"AOAH","Approved symbol","AOAH","acyloxyacyl hydrolase","HGNC:548","7p14.2"
"FLJ20729","Alias symbol","ZNHIT6","zinc finger HIT-type containing 6","HGNC:26089","1p22.3"
"PML","Approved symbol","PML","PML nuclear body scaffold","HGNC:9113","15q24.1"
"SIT","Alias symbol","SIT1","signaling threshold regulating transmembrane adaptor 1","HGNC:17710","9p13.3"
"SIT","Alias symbol","HHAT","hedgehog acyltransferase","HGNC:18270","1q32.2"
"MARCKS","Approved symbol","MARCKS","myristoylated alanine rich protein kinase C substrate","HGNC:6759","6q21"
"BRD7","Approved symbol","BRD7","bromodomain containing 7","HGNC:14310","16q12.1"
"DIA1","Previous symbol","CYB5R3","cytochrome b5 reductase 3","HGNC:2873","22q13.2"
"DIA1","Alias symbol","DIPK2A","divergent protein kinase domain 2A","HGNC:28490","3q24"
"KRTHB1","Previous symbol","KRT81","keratin 81","HGNC:6458","12q13.13"
"NEBL","Approved symbol","NEBL","nebulette","HGNC:16932","10p12.31"
"TENC1","Previous symbol","TNS2","tensin 2","HGNC:19737","12q13.13"
"GDAP1","Approved symbol","GDAP1","ganglioside induced differentiation associated protein 1","HGNC:15968","8q21.11"
"FLJ20054","Alias symbol","DENND1B","DENN domain containing 1B","HGNC:28404","1q31.3"
"HSA275986","Alias symbol","DCP1A","decapping mRNA 1A","HGNC:18714","3p21.1"
"LOC54499","Unmatched","","","",""
"EIF3S3","Previous symbol","EIF3H","eukaryotic translation initiation factor 3 subunit H","HGNC:3273","8q23.3-q24.11"
"HSF2BP","Approved symbol","HSF2BP","heat shock transcription factor 2 binding protein","HGNC:5226","21q22.3"
"ERP70","Alias symbol","PDIA4","protein disulfide isomerase family A member 4","HGNC:30167","7q36.1"
"COLEC10","Approved symbol","COLEC10","collectin subfamily member 10","HGNC:2220","8q24.12"
"ZNF297","Previous symbol","ZBTB22","zinc finger and BTB domain containing 22","HGNC:13085","6p21.3"
"PARP3","Approved symbol","PARP3","poly(ADP-ribose) polymerase family member 3","HGNC:273","3p21.2"
"SCAND1","Approved symbol","SCAND1","SCAN domain containing 1","HGNC:10566","20q11.23"
"TRIF","Alias symbol","TRIM69","tripartite motif containing 69","HGNC:17857","15q15-q21"
"TRIF","Alias symbol","TICAM1","TIR domain containing adaptor molecule 1","HGNC:18348","19p13.3"
"BRF1","Approved symbol","BRF1","BRF1 RNA polymerase III transcription initiation factor subunit","HGNC:11551","14q32.33"
"BRF1","Previous symbol","ZFP36L1","ZFP36 ring finger protein like 1","HGNC:1107","14q24.1"
"JAK2","Approved symbol","JAK2","Janus kinase 2","HGNC:6192","9p24.1"
"PHF2","Approved symbol","PHF2","PHD finger protein 2","HGNC:8920","9q22.31"
"FOSB","Approved symbol","FOSB","FosB proto-oncogene, AP-1 transcription factor subunit","HGNC:3797","19q13.32"
"RAB3D","Approved symbol","RAB3D","RAB3D, member RAS oncogene family","HGNC:9779","19p13.2"
"SIGLEC9","Approved symbol","SIGLEC9","sialic acid binding Ig like lectin 9","HGNC:10878","19q13.3-q13.4"
"PCDH17","Approved symbol","PCDH17","protocadherin 17","HGNC:14267","13q21.1"
"MYBPC1","Approved symbol","MYBPC1","myosin binding protein C1","HGNC:7549","12q23.2"
"SPAG9","Approved symbol","SPAG9","sperm associated antigen 9","HGNC:14524","17q21.33"
"UGCGL2","Previous symbol","UGGT2","UDP-glucose glycoprotein glucosyltransferase 2","HGNC:15664","13q32.1"
"PCYT2","Approved symbol","PCYT2","phosphate cytidylyltransferase 2, ethanolamine","HGNC:8756","17q25.3"
"KIAA1033","Previous symbol","WASHC4","WASH complex subunit 4","HGNC:29174","12q23.3"
"STRAP","Approved symbol","STRAP","serine/threonine kinase receptor associated protein","HGNC:30796","12p12.3"
"STRAP","Alias symbol","SRFBP1","serum response factor binding protein 1","HGNC:26333","5q23.1"
"STRAP","Alias symbol","TTC5","tetratricopeptide repeat domain 5","HGNC:19274","14q11.2"
"VSX1","Approved symbol","VSX1","visual system homeobox 1","HGNC:12723","20p11.21"
"CSF2","Approved symbol","CSF2","colony stimulating factor 2","HGNC:2434","5q31.1"
"TM4SF12","Previous symbol","TSPAN12","tetraspanin 12","HGNC:21641","7q31.31"
"APRT","Approved symbol","APRT","adenine phosphoribosyltransferase","HGNC:626","16q24.3"
"DECR1","Approved symbol","DECR1","2,4-dienoyl-CoA reductase 1","HGNC:2753","8q21.3"
"CUL2","Approved symbol","CUL2","cullin 2","HGNC:2552","10p11.21"
"CSNK2B","Approved symbol","CSNK2B","casein kinase 2 beta","HGNC:2460","6p21.33"
"SPTBN2","Approved symbol","SPTBN2","spectrin beta, non-erythrocytic 2","HGNC:11276","11q13.2"
"KAI1","Previous symbol","CD82","CD82 molecule","HGNC:6210","11p11.2"
"IGLL1","Approved symbol","IGLL1","immunoglobulin lambda like polypeptide 1","HGNC:5870","22q11.23"
"LRRC20","Approved symbol","LRRC20","leucine rich repeat containing 20","HGNC:23421","10q22.1"
"CTNNBL1","Approved symbol","CTNNBL1","catenin beta like 1","HGNC:15879","20q11.23"
"SFTPC","Approved symbol","SFTPC","surfactant protein C","HGNC:10802","8p21.3"
"P15RS","Alias symbol","RPRD1A","regulation of nuclear pre-mRNA domain containing 1A","HGNC:25560","18q12.2"
"TTC19","Approved symbol","TTC19","tetratricopeptide repeat domain 19","HGNC:26006","17p12"
"CYSLTR2","Approved symbol","CYSLTR2","cysteinyl leukotriene receptor 2","HGNC:18274","13q14.2"
"MGC12458","Alias symbol","EFCAB2","EF-hand calcium binding domain 2","HGNC:28166","1q44"
"FLJ11021","Alias symbol","RSRC2","arginine and serine rich coiled-coil 2","HGNC:30559","12q24.31"
"TXNL4A","Approved symbol","TXNL4A","thioredoxin like 4A","HGNC:30551","18q23"
"ARC","Approved symbol","ARC","activity regulated cytoskeleton associated protein","HGNC:648","8q24.3"
"ARC","Alias symbol","NOL3","nucleolar protein 3","HGNC:7869","16q22.1"
"GALNS","Approved symbol","GALNS","galactosamine (N-acetyl)-6-sulfatase","HGNC:4122","16q24.3"
"CYLC2","Approved symbol","CYLC2","cylicin 2","HGNC:2583","9q31.1"
"NR4A1","Approved symbol","NR4A1","nuclear receptor subfamily 4 group A member 1","HGNC:7980","12q13.13"
"TSC","Previous symbol","TSC1","TSC complex subunit 1","HGNC:12362","9q34"
"TSC","Alias symbol","TESC","tescalcin","HGNC:26065","12q24.22"
"SERP1","Approved symbol","SERP1","stress associated endoplasmic reticulum protein 1","HGNC:10759","3q25.1"
"ECGF1","Previous symbol","TYMP","thymidine phosphorylase","HGNC:3148","22q13.33"
"SMURF1","Approved symbol","SMURF1","SMAD specific E3 ubiquitin protein ligase 1","HGNC:16807","7q22.1"
"UNC84A","Previous symbol","SUN1","Sad1 and UNC84 domain containing 1","HGNC:18587","7p22.3"
"ABCA5","Approved symbol","ABCA5","ATP binding cassette subfamily A member 5","HGNC:35","17q24.3"
"SHCBP1","Approved symbol","SHCBP1","SHC binding and spindle associated 1","HGNC:29547","16q11.2"
"NUP54","Approved symbol","NUP54","nucleoporin 54","HGNC:17359","4q21.1"
"VCP","Approved symbol","VCP","valosin containing protein","HGNC:12666","9p13.3"
"PSME4","Approved symbol","PSME4","proteasome activator subunit 4","HGNC:20635","2p16.2"
"DNAJC12","Approved symbol","DNAJC12","DnaJ heat shock protein family (Hsp40) member C12","HGNC:28908","10q21.3"
"IGFBP2","Approved symbol","IGFBP2","insulin like growth factor binding protein 2","HGNC:5471","2q35"
"MADD","Approved symbol","MADD","MAP kinase activating death domain","HGNC:6766","11p11.2"
"MADD","Alias symbol","ETFA","electron transfer flavoprotein subunit alpha","HGNC:3481","15q24.2-q24.3"
"HIP1","Approved symbol","HIP1","huntingtin interacting protein 1","HGNC:4913","7q11.23"
"DKFZP564K2062","Alias symbol","TMEM186","transmembrane protein 186","HGNC:24530","16p13.2"
"SELT","Alias symbol","SELENOT","selenoprotein T","HGNC:18136","3q25.1"
"REN","Approved symbol","REN","renin","HGNC:9958","1q32.1"
"REN","Alias symbol","KCTD11","potassium channel tetramerization domain containing 11","HGNC:21302","17p13.1"
"HIST1H1C","Previous symbol","H1-2","H1.2 linker histone, cluster member","HGNC:4716","6p22.2"
"RCBTB1","Approved symbol","RCBTB1","RCC1 and BTB domain containing protein 1","HGNC:18243","13q14.2"
"PTPRD","Approved symbol","PTPRD","protein tyrosine phosphatase receptor type D","HGNC:9668","9p24.1-p23"
"SLC24A3","Approved symbol","SLC24A3","solute carrier family 24 member 3","HGNC:10977","20p11.23"
"MFAP5","Approved symbol","MFAP5","microfibril associated protein 5","HGNC:29673","12p13.31"
"ZNF134","Approved symbol","ZNF134","zinc finger protein 134","HGNC:12918","19q13.43"
"TM4SF4","Approved symbol","TM4SF4","transmembrane 4 L six family member 4","HGNC:11856","3q25.1"
"UBE3B","Approved symbol","UBE3B","ubiquitin protein ligase E3B","HGNC:13478","12q24.11"
"PF4V1","Approved symbol","PF4V1","platelet factor 4 variant 1","HGNC:8862","4q13.3"
"LAMA1","Approved symbol","LAMA1","laminin subunit alpha 1","HGNC:6481","18p11.31"
"FOS","Approved symbol","FOS","Fos proto-oncogene, AP-1 transcription factor subunit","HGNC:3796","14q24.3"
"ACTL7A","Approved symbol","ACTL7A","actin like 7A","HGNC:161","9q31.3"
"MPHOSPH9","Approved symbol","MPHOSPH9","M-phase phosphoprotein 9","HGNC:7215","12q24.31"
"CLK1","Approved symbol","CLK1","CDC like kinase 1","HGNC:2068","2q33.1"
"HIST1H2AG","Previous symbol","H2AC11","H2A clustered histone 11","HGNC:4737","6p22.1"
"PKD2L1","Approved symbol","PKD2L1","polycystin 2 like 1, transient receptor potential cation channel","HGNC:9011","10q24.31"
"BACH1","Approved symbol","BACH1","BTB domain and CNC homolog 1","HGNC:935","21q21.3"
"BACH1","Alias symbol","BRIP1","BRCA1 interacting helicase 1","HGNC:20473","17q23.2"
"PPP2R5E","Approved symbol","PPP2R5E","protein phosphatase 2 regulatory subunit B'epsilon","HGNC:9313","14q23.2"
"NR1H3","Approved symbol","NR1H3","nuclear receptor subfamily 1 group H member 3","HGNC:7966","11p11.2"
"FRK","Approved symbol","FRK","fyn related Src family tyrosine kinase","HGNC:3955","6q22.1"
"CCR9","Approved symbol","CCR9","C-C motif chemokine receptor 9","HGNC:1610","3p21.31"
"CCR9","Alias symbol","ACKR2","atypical chemokine receptor 2","HGNC:1565","3p22.1"
"POLD3","Approved symbol","POLD3","DNA polymerase delta 3, accessory subunit","HGNC:20932","11q13.4"
"DOM3Z","Previous symbol","DXO","decapping exoribonuclease","HGNC:2992","6p21.33"
"VPS13D","Approved symbol","VPS13D","vacuolar protein sorting 13 homolog D","HGNC:23595","1p36.22-p36.21"
"NPAT","Approved symbol","NPAT","nuclear protein, coactivator of histone transcription","HGNC:7896","11q22.3"
"MRPL11","Approved symbol","MRPL11","mitochondrial ribosomal protein L11","HGNC:14042","11q13.2"
"EIF3S5","Previous symbol","EIF3F","eukaryotic translation initiation factor 3 subunit F","HGNC:3275","11p15.4"
"GOLPH4","Previous symbol","GOLIM4","golgi integral membrane protein 4","HGNC:15448","3q26.2"
"""NAV2""","Unmatched","","","",""
"KCNJ5","Approved symbol","KCNJ5","potassium inwardly rectifying channel subfamily J member 5","HGNC:6266","11q24.3"
"MFNG","Approved symbol","MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","HGNC:7038","22q13.1"
"JARID2","Approved symbol","JARID2","jumonji and AT-rich interaction domain containing 2","HGNC:6196","6p22.3"
"DTNA","Approved symbol","DTNA","dystrobrevin alpha","HGNC:3057","18q12.1"
"BCAN","Approved symbol","BCAN","brevican","HGNC:23059","1q23.1"
"DARS","Previous symbol","DARS1","aspartyl-tRNA synthetase 1","HGNC:2678","2q21.3"
"H2AFY2","Previous symbol","MACROH2A2","macroH2A.2 histone","HGNC:14453","10q22.1"
"MAP4K4","Approved symbol","MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4","HGNC:6866","2q11.2"
"TPBG","Approved symbol","TPBG","trophoblast glycoprotein","HGNC:12004","6q14.1"
"FLJ20674","Unmatched","","","",""
"LRPAP1","Approved symbol","LRPAP1","LDL receptor related protein associated protein 1","HGNC:6701","4p16.3"
"NDP","Approved symbol","NDP","norrin cystine knot growth factor NDP","HGNC:7678","Xp11.3"
"PTGS1","Approved symbol","PTGS1","prostaglandin-endoperoxide synthase 1","HGNC:9604","9q33.2"
"KIAA0582","Previous symbol","CEP68","centrosomal protein 68","HGNC:29076","2p14"
"GNAQ","Approved symbol","GNAQ","G protein subunit alpha q","HGNC:4390","9q21.2"
"ZNF562","Approved symbol","ZNF562","zinc finger protein 562","HGNC:25950","19p13.2"
"NFIC","Approved symbol","NFIC","nuclear factor I C","HGNC:7786","19p13.3"
"PPGB","Previous symbol","CTSA","cathepsin A","HGNC:9251","20q13.12"
"RPL18","Approved symbol","RPL18","ribosomal protein L18","HGNC:10310","19q13.33"
"TBX2","Approved symbol","TBX2","T-box transcription factor 2","HGNC:11597","17q23.2"
"CRYBB3","Approved symbol","CRYBB3","crystallin beta B3","HGNC:2400","22q11.23"
"TUBD1","Approved symbol","TUBD1","tubulin delta 1","HGNC:16811","17q23.1"
"LIPE","Approved symbol","LIPE","lipase E, hormone sensitive type","HGNC:6621","19q13.2"
"CPT2","Approved symbol","CPT2","carnitine palmitoyltransferase 2","HGNC:2330","1p32.3"
"ABCD4","Approved symbol","ABCD4","ATP binding cassette subfamily D member 4","HGNC:68","14q24.3"
"TPR","Approved symbol","TPR","translocated promoter region, nuclear basket protein","HGNC:12017","1q31.1"
"ZNF225","Approved symbol","ZNF225","zinc finger protein 225","HGNC:13018","19q13.31"
"RALY","Approved symbol","RALY","RALY heterogeneous nuclear ribonucleoprotein","HGNC:15921","20q11.22"
"PLP2","Approved symbol","PLP2","proteolipid protein 2","HGNC:9087","Xp11.23"
"IFNA8","Approved symbol","IFNA8","interferon alpha 8","HGNC:5429","9p21.3"
"LAIR1","Approved symbol","LAIR1","leukocyte associated immunoglobulin like receptor 1","HGNC:6477","19q13.42"
"KIAA0125","Previous symbol","FAM30A","family with sequence similarity 30 member A","HGNC:19955","14q32.33"
"RPL36A","Approved symbol","RPL36A","ribosomal protein L36a","HGNC:10359","Xq22.1"
"RPL36A","Previous symbol","RPL36AL","ribosomal protein L36a like","HGNC:10346","14q21.3"
"CEACAM1","Approved symbol","CEACAM1","CEA cell adhesion molecule 1","HGNC:1814","19q13.2"
"NOTCH3","Approved symbol","NOTCH3","notch receptor 3","HGNC:7883","19p13.12"
"CD8A","Approved symbol","CD8A","CD8a molecule","HGNC:1706","2p11.2"
"HSPC111","Alias symbol","NOP16","NOP16 nucleolar protein","HGNC:26934","5q35.2"
"RINT-1","Alias symbol","RINT1","RAD50 interactor 1","HGNC:21876","7q22.3"
"NCF4","Approved symbol","NCF4","neutrophil cytosolic factor 4","HGNC:7662","22q12.3"
"NUDT1","Approved symbol","NUDT1","nudix hydrolase 1","HGNC:8048","7p22.3"
"CHORDC1","Approved symbol","CHORDC1","cysteine and histidine rich domain containing 1","HGNC:14525","11q14.3"
"TREM2","Approved symbol","TREM2","triggering receptor expressed on myeloid cells 2","HGNC:17761","6p21.1"
"VAMP4","Approved symbol","VAMP4","vesicle associated membrane protein 4","HGNC:12645","1q24.3"
"NR1I2","Approved symbol","NR1I2","nuclear receptor subfamily 1 group I member 2","HGNC:7968","3q13.33"
"SPP2","Approved symbol","SPP2","secreted phosphoprotein 2","HGNC:11256","2q37.1"
"SPP2","Alias symbol","GPKOW","G-patch domain and KOW motifs","HGNC:30677","Xp11.23"
"SPP2","Alias symbol","SGPP2","sphingosine-1-phosphate phosphatase 2","HGNC:19953","2q36.1"
"SLC7A10","Approved symbol","SLC7A10","solute carrier family 7 member 10","HGNC:11058","19q13.11"
"BRMS1","Approved symbol","BRMS1","BRMS1 transcriptional repressor and anoikis regulator","HGNC:17262","11q13.2"
"BRMS1","Previous symbol","BRMS1L","BRMS1 like transcriptional repressor","HGNC:20512","14q13.2"
"HCFC1R1","Approved symbol","HCFC1R1","host cell factor C1 regulator 1","HGNC:21198","16p13.3"
"SON","Approved symbol","SON","SON DNA and RNA binding protein","HGNC:11183","21q22.11"
"PLK4","Approved symbol","PLK4","polo like kinase 4","HGNC:11397","4q28.1"
"SCGF","Previous symbol","CLEC11A","C-type lectin domain containing 11A","HGNC:10576","19q13.33"
"SITPEC","Alias symbol","ECSIT","ECSIT signaling integrator","HGNC:29548","19p13.2"
"CEP1","Previous symbol","CNTRL","centriolin","HGNC:1858","9q33.2"
"CEP1","Alias symbol","CDC42EP1","CDC42 effector protein 1","HGNC:17014","22q13.1"
"LSS","Approved symbol","LSS","lanosterol synthase","HGNC:6708","21q22.3"
"HS322B1A","Alias symbol","GSTT4","glutathione S-transferase theta 4","HGNC:26930","22q11.23"
"TGDS","Approved symbol","TGDS","TDP-glucose 4,6-dehydratase","HGNC:20324","13q32.1"
"TAF6","Approved symbol","TAF6","TATA-box binding protein associated factor 6","HGNC:11540","7q22.1"
"WNT11","Approved symbol","WNT11","Wnt family member 11","HGNC:12776","11q13.5"
